epoch,loss,sat_train_overall,sat_train_trans,sat_train_irreflex,sat_train_asymmetry,sat_train_closure,sat_train_pos,sat_train_neg,sat_test_overall,sat_test_trans,sat_test_irreflex,sat_test_asymmetry,sat_test_closure,sat_test_pos,sat_test_neg,n_pos,n_neg,n_test_pos,n_test_neg,scenario,katz_mode,predicate,embed_type,hierarchy_source,bundle_tag,vector_dim,model_path
12,0.5020196437835693,0.49798035621643066,0.879906177520752,0.5195601582527161,0.7691007256507874,0.5719637274742126,0.4828026294708252,0.5223598480224609,0.4834486246109009,0.879906177520752,0.5195601582527161,0.7691007256507874,0.5719637274742126,0.4834486246109009,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
13,0.5011786818504333,0.49882131814956665,0.8794329166412354,0.5177837610244751,0.7673865556716919,0.5723522305488586,0.4848875403404236,0.5209193229675293,0.48547571897506714,0.8794329166412354,0.5177837610244751,0.7673865556716919,0.5723522305488586,0.48547571897506714,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
14,0.5003176927566528,0.49968230724334717,0.878960907459259,0.5160006284713745,0.7656586766242981,0.5729381442070007,0.4870030879974365,0.5194947123527527,0.4875296950340271,0.878960907459259,0.5160006284713745,0.7656586766242981,0.5729381442070007,0.4875296950340271,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
15,0.4994390606880188,0.5005609393119812,0.8784900307655334,0.5142101645469666,0.7639163732528687,0.5709936618804932,0.48915189504623413,0.5180875062942505,0.4896128177642822,0.8784900307655334,0.5142101645469666,0.7639163732528687,0.5709936618804932,0.4896128177642822,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
16,0.4985407590866089,0.5014592409133911,0.8780202269554138,0.5124116539955139,0.7621588706970215,0.5663596987724304,0.49133676290512085,0.5166995525360107,0.4917272925376892,0.8780202269554138,0.5124116539955139,0.7621588706970215,0.5663596987724304,0.4917272925376892,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
17,0.4976067543029785,0.5023932456970215,0.8775513768196106,0.5106045603752136,0.7603853940963745,0.5672289133071899,0.4935606122016907,0.515332818031311,0.49387598037719727,0.8775513768196106,0.5106045603752136,0.7603853940963745,0.5672289133071899,0.49387598037719727,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
18,0.49664533138275146,0.5033546686172485,0.8770834803581238,0.508787989616394,0.7585948705673218,0.5668202638626099,0.4958270788192749,0.5139893293380737,0.49606168270111084,0.8770834803581238,0.508787989616394,0.7585948705673218,0.5668202638626099,0.49606168270111084,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
19,0.495655357837677,0.504344642162323,0.8766164779663086,0.5069612264633179,0.7567864060401917,0.5641173720359802,0.49813956022262573,0.5126715898513794,0.49828749895095825,0.8766164779663086,0.5069612264633179,0.7567864060401917,0.5641173720359802,0.49828749895095825,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
20,0.4946242570877075,0.5053757429122925,0.8761503100395203,0.5051237940788269,0.7549591660499573,0.5646830797195435,0.5005018711090088,0.5113821029663086,0.5005568265914917,0.8761503100395203,0.5051237940788269,0.7549591660499573,0.5646830797195435,0.5005568265914917,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
21,0.49355506896972656,0.5064449310302734,0.8756847977638245,0.5032745003700256,0.7531116008758545,0.5647295713424683,0.5029181838035583,0.5101233124732971,0.5028730630874634,0.8756847977638245,0.5032745003700256,0.7531116008758545,0.5647295713424683,0.5028730630874634,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
22,0.4924478530883789,0.5075521469116211,0.875220000743866,0.5014128088951111,0.7512429356575012,0.5621297955513,0.5053924322128296,0.5088982582092285,0.5052398443222046,0.875220000743866,0.5014128088951111,0.7512429356575012,0.5621297955513,0.5052398443222046,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
23,0.4912896752357483,0.5087103247642517,0.874755859375,0.4995375871658325,0.7493517398834229,0.5624257326126099,0.5079290270805359,0.507709801197052,0.5076606869697571,0.874755859375,0.4995375871658325,0.7493517398834229,0.5624257326126099,0.5076606869697571,0.0,332,193,606,0,A,no_katz,Hyp2,poincare,DEFAULT,embeddings_train_25__default_train_25,25,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_25/default_train_25.model
