epoch,loss,sat_train_overall,sat_train_trans,sat_train_irreflex,sat_train_asymmetry,sat_train_closure,sat_train_pos,sat_train_neg,sat_test_overall,sat_test_trans,sat_test_irreflex,sat_test_asymmetry,sat_test_closure,sat_test_pos,sat_test_neg,n_pos,n_neg,n_test_pos,n_test_neg,scenario,katz_mode,predicate,embed_type,hierarchy_source,bundle_tag,vector_dim,model_path
12,0.4800575375556946,0.5199424624443054,0.8836316466331482,0.5325918793678284,0.7815521955490112,0.5796156525611877,0.5042077302932739,0.5456290245056152,0.4966410994529724,0.8836316466331482,0.5325918793678284,0.7815521955490112,0.5796156525611877,0.4966410994529724,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
13,0.47686052322387695,0.523139476776123,0.8833920359611511,0.531578779220581,0.7806316614151001,0.5788049697875977,0.5089455842971802,0.5460175275802612,0.5005403757095337,0.8833920359611511,0.531578779220581,0.7806316614151001,0.5788049697875977,0.5005403757095337,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
14,0.47352564334869385,0.5264743566513062,0.8831731081008911,0.5306111574172974,0.7797581553459167,0.5796346068382263,0.5138247013092041,0.5465560555458069,0.5045620203018188,0.8831731081008911,0.5306111574172974,0.7797581553459167,0.5796346068382263,0.5045620203018188,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
15,0.4700528383255005,0.5299471616744995,0.882976233959198,0.5296904444694519,0.778934121131897,0.5773257613182068,0.5188523530960083,0.5472539663314819,0.508710503578186,0.882976233959198,0.5296904444694519,0.778934121131897,0.5773257613182068,0.508710503578186,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
16,0.46642279624938965,0.5335772037506104,0.8828029036521912,0.5288192629814148,0.7781630754470825,0.578715980052948,0.524034857749939,0.5481218099594116,0.5129895210266113,0.8828029036521912,0.5288192629814148,0.7781630754470825,0.578715980052948,0.5129895210266113,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
17,0.46263885498046875,0.5373611450195312,0.8826549053192139,0.5280013084411621,0.7774494886398315,0.5775167942047119,0.5293771028518677,0.549172043800354,0.517402708530426,0.8826549053192139,0.5280013084411621,0.7774494886398315,0.5775167942047119,0.517402708530426,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
18,0.4586869478225708,0.5413130521774292,0.8825345635414124,0.527241051197052,0.7767984867095947,0.577499508857727,0.5348836183547974,0.5504177212715149,0.5219526886940002,0.8825345635414124,0.527241051197052,0.7767984867095947,0.577499508857727,0.5219526886940002,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
19,0.4545670747756958,0.5454329252243042,0.8824442028999329,0.526543915271759,0.7762162089347839,0.5747394561767578,0.5405570268630981,0.5518730878829956,0.5266412496566772,0.8824442028999329,0.526543915271759,0.7762162089347839,0.5747394561767578,0.5266412496566772,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
20,0.450261652469635,0.549738347530365,0.8823867440223694,0.5259165167808533,0.7757093906402588,0.5753744840621948,0.5463992357254028,0.553553581237793,0.5314688086509705,0.8823867440223694,0.5259165167808533,0.7757093906402588,0.5753744840621948,0.5314688086509705,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
21,0.4457717537879944,0.5542282462120056,0.8823652267456055,0.5253660678863525,0.7752857804298401,0.5749601721763611,0.5524111986160278,0.5554757714271545,0.5364344120025635,0.8823652267456055,0.5253660678863525,0.7752857804298401,0.5749601721763611,0.5364344120025635,0.0,332,193,606,0,B,plus_katz,Hyp3,poincare,DEFAULT,embeddings_train_50__default_train_50,50,/content/drive/MyDrive/HyperN/EMBD/Poincare_Gensim/Seminar_DS/embeddings_train_50/default_train_50.model
