epoch,loss,sat,sat_pos,sat_neg
0,0.514128565788269,0.48587143421173096,0.45210564136505127,0.5462503433227539
20,0.45808130502700806,0.5419186949729919,0.6205045580863953,0.43097901344299316
40,0.3880211114883423,0.6119788885116577,0.6914805769920349,0.5045156478881836
60,0.24449366331100464,0.7555063366889954,0.7905636429786682,0.7073002457618713
80,0.08862382173538208,0.9113761782646179,0.9227274656295776,0.908485472202301
100,0.036825358867645264,0.9631746411323547,0.9784668684005737,0.9852349758148193
120,0.029470622539520264,0.9705293774604797,0.9830984473228455,0.994335412979126
140,0.02425485849380493,0.9757451415061951,0.9857431650161743,0.9958397746086121
160,0.021035969257354736,0.9789640307426453,0.9879598617553711,0.9965258836746216
180,0.019584596157073975,0.980415403842926,0.9897840023040771,0.9969921708106995
