epoch,loss,sat,sat_pos,sat_neg
0,0.5017266869544983,0.4982733130455017,0.4873710870742798,0.5148414969444275
20,0.4675406813621521,0.5324593186378479,0.5854068994522095,0.45211470127105713
40,0.43736565113067627,0.5626343488693237,0.6700913906097412,0.422852098941803
60,0.38809770345687866,0.6119022965431213,0.7288621068000793,0.46877700090408325
80,0.3048064708709717,0.6951935291290283,0.8080305457115173,0.5676025748252869
100,0.2430158257484436,0.7569841742515564,0.8885642886161804,0.6310070753097534
120,0.1751708984375,0.8248291015625,0.894385039806366,0.7529300451278687
140,0.11026829481124878,0.8897317051887512,0.9134195446968079,0.8711901903152466
160,0.0590096116065979,0.9409903883934021,0.9522469639778137,0.9569019675254822
180,0.041109681129455566,0.9588903188705444,0.9800254702568054,0.9801955223083496
