epoch,loss,sat,sat_pos,sat_neg
0,0.5121688842773438,0.48783111572265625,0.4572976231575012,0.5416705012321472
20,0.45289146900177,0.54710853099823,0.6519168615341187,0.40847933292388916
40,0.3805612325668335,0.6194387674331665,0.7075749039649963,0.5036600828170776
60,0.23797595500946045,0.7620240449905396,0.803600013256073,0.7067937850952148
80,0.07685154676437378,0.9231484532356262,0.93382328748703,0.9241316318511963
100,0.0354161262512207,0.9645838737487793,0.980833113193512,0.9897814989089966
120,0.02754110097885132,0.9724588990211487,0.983174204826355,0.9961504340171814
140,0.023105084896087646,0.9768949151039124,0.9867069721221924,0.9969643950462341
160,0.0206415057182312,0.9793584942817688,0.988853931427002,0.9973141551017761
180,0.018111824989318848,0.9818881750106812,0.9903953075408936,0.9975098967552185
