epoch,loss,sat,sat_pos,sat_neg
0,0.5039879083633423,0.4960120916366577,0.4870600700378418,0.5090702772140503
20,0.4764232039451599,0.5235767960548401,0.5657298564910889,0.45733147859573364
40,0.4469195604324341,0.5530804395675659,0.6522799730300903,0.42073625326156616
60,0.4028146266937256,0.5971853733062744,0.7163548469543457,0.45037776231765747
80,0.3214670419692993,0.6785329580307007,0.7877709865570068,0.5510464906692505
100,0.24715322256088257,0.7528467774391174,0.8816814422607422,0.6269345283508301
120,0.18861335515975952,0.8113866448402405,0.9048635959625244,0.7204692363739014
140,0.13828688859939575,0.8617131114006042,0.9084940552711487,0.8136648535728455
160,0.09706467390060425,0.9029353260993958,0.9267584681510925,0.883640468120575
180,0.04711514711380005,0.9528848528862,0.9707255363464355,0.9615724682807922
