epoch,loss,sat,sat_pos,sat_neg
0,0.5321131348609924,0.46788686513900757,0.4136350750923157,0.5726010203361511
20,0.45163488388061523,0.5483651161193848,0.6222485303878784,0.442960262298584
40,0.3987714648246765,0.6012285351753235,0.6785436868667603,0.4949132800102234
60,0.33817577362060547,0.6618242263793945,0.7436437606811523,0.5555907487869263
80,0.24730604887008667,0.7526939511299133,0.7842221260070801,0.7083224058151245
100,0.12809520959854126,0.8719047904014587,0.8865746259689331,0.857690155506134
120,0.047132015228271484,0.9528679847717285,0.9648373126983643,0.9623816013336182
140,0.032099366188049316,0.9679006338119507,0.9828812479972839,0.9876382946968079
160,0.025892436504364014,0.974107563495636,0.9853324890136719,0.9929578900337219
180,0.020920217037200928,0.9790797829627991,0.9872214198112488,0.9948419332504272
