epoch,loss,sat,sat_pos,sat_neg
0,0.5630770325660706,0.43692296743392944,0.8304400444030762,0.09912937879562378
20,0.443662166595459,0.556337833404541,0.6744526624679565,0.4055643677711487
40,0.3885512351989746,0.6114487648010254,0.6868213415145874,0.5078616142272949
60,0.33424150943756104,0.665758490562439,0.7379449605941772,0.5694893002510071
80,0.2592892646789551,0.7407107353210449,0.7895532846450806,0.6752285361289978
100,0.15172696113586426,0.8482730388641357,0.8815275430679321,0.8094351887702942
120,0.07030165195465088,0.9296983480453491,0.9397880434989929,0.9300985932350159
140,0.03935098648071289,0.9606490135192871,0.9714504480361938,0.9758395552635193
160,0.03031611442565918,0.9696838855743408,0.9809824824333191,0.9878113269805908
180,0.02329796552658081,0.9767020344734192,0.9852824211120605,0.9914396405220032
